"932"	"Tau"	"Tau"	"T"	U
"933"	"Ugr"	"Upsilon"	"$\Upsilon$"
"933"	"Upsi"	"Upsilon"	"$\Upsilon$"
"933"	"Upsilon"	"Upsilon"	"$\Upsilon$"	U
"934"	"PHgr"	"Phi"	"$\Phi$"
"934"	"Phi"	"Phi"	"$\Phi$"	U
"935"	"KHgr"	"Chi"	"X"	U
"935"	"Chi"	"Chi"	"X"
"936"	"PSgr"	"Psi"	"$\Psi$"
"936"	"Psi"	"Psi"	"$\Psi$"	U
"937"	"OHgr"	"Omega"	"$\Omega$"
"937"	"ohm"	"ohm"	"$\Omega$"
"937"	"Omega"	"Omega"	"$\Omega$"	U
"945"	"agr"	"alpha"	"$\alpha$"
"945"	"alpha"	"alpha"	"$\alpha$"	L
"946"	"bgr"	"beta"	"$\beta$"
"946"	"beta"	"beta"	"$\beta$"	L
"947"	"ggr"	"gamma"	"$\gamma$"
"947"	"gamma"	"gamma"	"$\gamma$"	L
"948"	"dgr"	"delta"	"$\delta$"
"948"	"delta"	"delta"	"$\delta$"	L
"949"	"egr"	"epsilon"	"$\epsilon$"
"949"	"epsi"	"epsilon"	"$\epsilon$"	L
"949"	"epsis"	"epsilon"	"$\epsilon$"
"949"	"epsiv"	"varepsilon"	"$\varepsilon$"
"949"	"varepsilon"	"varepsilon"	"$\varepsilon$"
"949"	"epsilon"	"epsilon"	"$\epsilon$"
"950"	"zgr"	"zeta"	"$\zeta$"
"950"	"zeta"	"zeta"	"$\zeta$"	L
"951"	"eegr"	"eta"	"$\eta$"
"951"	"eta"	"eta"	"$\eta$"	L
"952"	"thetas"	"theta"	"$\theta$"	L
"952"	"thgr"	"theta"	"$\theta$"
"952"	"thetasym"	"theta"	"$\theta$"
"952"	"theta"	"theta"	"$\theta$"
"953"	"igr"	"iota"	"$\iota$"
"953"	"iota"	"iota"	"$\iota$"	L
"954"	"kgr"	"kappa"	"$\kappa$"
"954"	"kappa"	"kappa"	"$\kappa$"	L
"955"	"lgr"	"lambda"	"$\lambda$"
"955"	"lambda"	"lambda"	"$\lambda$"	L
"956"	"mgr"	"mu"	"$\mu$"
"956"	"mu"	"mu"	"$\mu$"	L
"957"	"ngr"	"nu"	"$\nu$"
"957"	"nu"	"nu"	"$\nu$"	L
"958"	"xgr"	"xi"	"$\xi$"
"958"	"xi"	"xi"	"$\xi$"	L
"959"	"ogr"	"omicron"	"o"	L
"959"	"omicron"	"omicron"	"o"
"960"	"pgr"	"pi"	"$\pi$"
"960"	"pi"	"pi"	"$\pi$"	L
"961"	"rgr"	"rho"	"$\rho$"
"961"	"rho"	"rho"	"$\rho$"	L
"962"	"sfgr"	"varsigma"	"$\varsigma$"
"962"	"sigmav"	"varsigma"	"$\varsigma$"	L
