....BOPul....	Bulletin (Izvestiya) de l'Observatoire Central a Poulkovo
....BOTor....	Biuletyn Obserwatoium Astronomicznego Uniwersytetu M. Kopernika w Toruniu
....BOTT.....	Boletin de los Observatorios Tonantzintla y Tacubaya
....BPAS.....	Bulletin of Pure and Applied Science (Physics)
....BpJ......	Biophysical Journal
....Brain....	Brain
....BRCPS....	Biological Reviews of the Cambridge Philosophical Society
....BRMIC....	Behavior Research Methods Instruments and Computers
....BROGS....	Belgian Royal Observatory Communications Series Geophysics Series
....BrWK.....	Brennstoff Waerme Kraft
....BSD......	Hamburger Sternwarte Bergedorf
....BSEEA....	Iasi Institutul Politehnic Buletinul Sectia Electrotehnica Electronica Automatizari
....BSMMT....	Iasi Institutul Politehnic Buletinul Sectia Matematica Mecanica Teoretica Fizica
....BSMT.....	Iasi Institutul Politehnic Buletinul Sectia Mecanica Tehnica
....BSolD....	Solnechnye Dann. Bull. Akad. Nauk SSSR
....BSRSL....	Bulletin de la Societe Royale des Sciences de Liege
....BSSA.....	Bulletin Of The Seismological Society Of America
....BSSA.....	Seismological Society America Bulletin
....BSSR.....	AN BSSR Institut Teplo i Massoobmena Vsesoiuznaia Konferentsiia Teplomassoobmenu Minsk Belorussian SSR Preprint
....BStaO....	Byulleten' Stalinabadskoj Astronomicheskoj Observatorii Akademiya Nauk Tadzhikskoj SSR
....BSVit....	Bolletino della Societa dei Variabilisti Italiani
....BTE......	British Telecommunications Engineering
....BToIT....	Bulletin of the Tokyo Institute of Technology
....BTok.....	Bulletin of the Tokyo Astronomical Observatory
....BTUM.....	Braunschweig Technische Universitaet Mitteilungen
....BUAAJ....	Beijing University Aeronautics and Astronautics Journal
....BuAkK....	Budapest Akademiai Kiado
....BUBes....	Bulletin of the University of Besancon Observatory 
....BuBIH....	Bulletin Horaire du Bureau International de l'Heure
....BuENS....	Osaka Prefecture University Bulletin Series Engineering Natural Sciences
....BuIPS....	Bulletin of the Israel Physical Society
....BuLMS....	Bulletin of the London Mathematical Society
....BuMat....	Bulletin Mathematique
....BuSSA....	The Bulletin of the Seismological Society of America
....BVol.....	Bulletin of Volcanology
....BVVSA....	Bratislava Veda Vydavatelstvo Slovenskej Akademie Vied
....BYam.....	Bulletin of the Yamagata University Yamagata Japan
....ByuPr....	Byurakanskaya Astrofizicheskaya Observatoriya Preprint
....ByuRe....	Byurakan Astrophysical Observatory Armenia USSR Reprints
....CAD......	Computer-Aided Design
....CAFOE....	Circulaire de l'Association Francaise d'Observateurs d'Etoiles Variables
....CaGeJ....	Canadian Geotechnical Journal
....CaJCE....	Canadian Journal of Civil Engineering
....CaJCh....	Canadian Journal of Chemistry
....CaJES....	Canadian Journal of Earth Sciences
....CaJPh....	Canadian Journal of Physics
....CaJRS....	Canadian Journal of Remote Sensing
....CaJSS....	Canadian Journal of Soil Science
....CamRe....	Cambridge Observatories Reprints
....CANM.....	Communications in Applied Numerical Methods
....CapMi....	Royal Observatory Cape Mimeogram
....CarOB....	Carter Observatory Wellington New Zealand Astronomical Bulletins
....CarR.....	Caries Research
....CarRe....	Carter Observatory Wellington New Zealand Reprints
....CarRv.....	Catalysis Reviews
....CASI.....	CASI Transactions
....CASJ.....	Canadian Aeronautics and Space Journal
....CASJQ....	Canadian Aeronautics and Space Journal Quarter
